zone_id,zone_nom,code_dept,niveau_text,niveau_int,communes,n_communes,lat,lon,bws_raw,gws_raw,sev_raw,x_bws,x_gws,x_sv,x_a,spei3,spei12,S_struct_v2,S_conj_v2,H_v2,S_struct_v3,S_conj_v3,H_v3
8788,Saône Aval,01,alerte,2,[],1,46.20717222606079,4.8221278122353315,0.10427100211381912,0.016853200271725655,0.507054555098885,0.1737850035230319,0.11235466847817104,0.16901818503296165,0.09446518608979426,-4.753424308822899,-4.753424308822899,0.13662962234078582,0.7038539400838278,0.5862670673320594,0.14405138726684336,0.7038539400838278,0.5878056158403925
8789,Rivières de Bresse,01,alerte,2,[],1,46.281064727004804,5.250613145207517,0.10427100211381912,0.24447600543498993,0.507054555098885,0.1737850035230319,1.0,0.16901818503296165,0.10718731975478075,-4.753424308822899,-4.753424308822899,0.265479936873237,0.7038539400838278,0.6129780264094807,0.22850869384031613,0.7038539400838278,0.6053138048413989
8790,Rivières du Bugey,01,alerte,2,[],1,45.98144998763166,5.4609347273470235,0.07338256388902664,0.24447600543498993,0.3354370754820005,0.12230427314837775,1.0,0.11181235849400017,0.04362948505194422,-3.722100954959266,-4.753424308822899,0.2168587511928888,0.6807062318065947,0.5770337048400773,0.16376910257267624,0.7038539400838278,0.5918931424292524
8791,Rivières de Dombes,01,alerte,2,[],1,46.04893225050928,5.017698289197538,0.10427100211381912,0.24447600543498993,0.507054555098885,0.1737850035230319,1.0,0.16901818503296165,0.1250563563324265,-4.753424308822899,-4.753424308822899,0.2719127900411895,0.7038539400838278,0.6143115712932766,0.23411756595905125,0.7038539400838278,0.6064765366063748
8792,Rivières du Haut-Rhône,01,alerte,2,[],1,46.06121765988493,5.72367353010142,0.07338256388902664,,0.3354370754820005,0.12230427314837775,,0.11181235849400017,0.025016435554640896,-3.5403079801299815,-4.753424308822899,0.08157913183006929,0.6766420688265554,0.5419492446689311,0.09156879339625969,0.7038539400838278,0.5769258564681247
9368,Saône Aval,01,alerte,2,[],1,46.20717222606079,4.8221278122353315,0.10427100211381912,0.016853200271725655,0.507054555098885,0.1737850035230319,0.11235466847817104,0.16901818503296165,0.09446518608979426,-4.753424308822899,-4.753424308822899,0.13662962234078582,0.7038539400838278,0.5862670673320594,0.14405138726684336,0.7038539400838278,0.5878056158403925
9370,Plaine de l'Ain,01,alerte,2,[],1,45.94555441495824,5.276735577284725,0.07338256388902664,0.24447600543498993,0.3354370754820005,0.12230427314837775,1.0,0.11181235849400017,0.14940128649125498,-4.753424308822899,-4.753424308822899,0.25493659971104066,0.7038539400838278,0.6107923689782142,0.1958918121380936,0.7038539400838278,0.5985522521393932
9371,Dombes - Certines - Nord,01,vigilance,1,[],1,46.115506159897365,5.1093677541003695,0.10427100211381912,0.24447600543498993,0.507054555098885,0.1737850035230319,1.0,0.16901818503296165,0.1250563563324265,-4.753424308822899,-4.753424308822899,0.2719127900411895,0.7038539400838278,0.6143115712932766,0.23411756595905125,0.7038539400838278,0.6064765366063748
9372,Dombes - Sud,01,alerte_renforcee,3,[],1,45.9673784131865,4.869495690799803,0.10427100211381912,0.24447600543498993,0.507054555098885,0.1737850035230319,1.0,0.16901818503296165,0.12250880782629849,-4.753424308822899,-4.753424308822899,0.2709956725789834,0.7038539400838278,0.6141214507872378,0.23334730311001245,0.7038539400838278,0.606316859390885
8920,Bassin du Drac-Gapençais,05,alerte,2,[],1,44.61620469698566,6.169142541960832,0.1254761964082718,,0.278983449058036,0.20912699401378632,,0.09299448301934533,0.14716219768779007,-2.094538177633366,-4.753424308822899,0.18318824206336928,0.6506671952848105,0.5363531815728937,0.1768664982345774,0.7038539400838278,0.594608261913557
8921,Bassin du Buëch partie du 05,05,alerte_renforcee,3,[],1,44.47350413731229,5.7465123980474555,0.17384114861488342,,0.3661384290977303,0.2897352476914724,,0.12204614303257677,0.12578134670186586,-1.4494261413432235,-4.753424308822899,0.22110338216093944,0.6485606134308837,0.5434028984314543,0.2197055217539139,0.7038539400838278,0.6034888875316924
8922,Bassin Méouge partie 05,05,alerte_renforcee,3,[],1,44.24938007000627,5.7476122626358475,0.17384114861488342,,0.3661384290977303,0.2897352476914724,,0.12204614303257677,0.161033780027915,-1.6010058264275475,-4.753424308822899,0.23586021471602978,0.6481678830395358,0.5466237271898313,0.2311451287532444,0.7038539400838278,0.6058603437095812
8924,Bassin Moyenne Durance Amont partie 05,05,alerte,2,[],1,44.45106861199562,6.197690600211326,0.17384114861488342,,0.3661384290977303,0.2897352476914724,,0.12204614303257677,0.14716219768779007,-2.094538177633366,-4.753424308822899,0.23005350582946585,0.6506671952848105,0.5478132833974831,0.22683409666164467,0.7038539400838278,0.6049666570919117
8925,Bassin de la Haute-Durance,05,alerte,2,[],1,44.784256336675575,6.676689651212762,0.17384114861488342,,0.3661384290977303,0.2897352476914724,,0.12204614303257677,0.08015557430538728,-4.753424308822899,-4.753424308822899,0.20200422162287865,0.7038539400838278,0.5998193683292525,0.201900176052413,0.7038539400838278,0.599797799449231
8926,Bassin Souloise-Séveraisse,05,vigilance,1,[],1,44.80704440282905,6.1480537714249905,0.1254761964082718,,0.278983449058036,0.20912699401378632,,0.09299448301934533,0.049016619058476305,-4.753424308822899,-4.753424308822899,0.14210404635807516,0.7038539400838278,0.5874019277041808,0.14399456336810257,0.7038539400838278,0.5877938361187877
8927,Bassin Haute-Romanche,05,vigilance,1,[],1,45.03410628825239,6.307650549476441,0.1254761964082718,,0.278983449058036,0.20912699401378632,,0.09299448301934533,0.019666958201430884,-3.312275473563764,-4.753424308822899,0.12981814181326543,0.6716451815499409,0.5471071180650925,0.12909739801657222,0.7038539400838278,0.5847056203428449
8923,Bassin E(A)ygues partie 05,05,alerte_renforcee,3,,0,44.41528239540806,5.505295495055771,0.029968781396746635,,0.3267814449866165,0.04994796899457773,,0.10892714832887217,0.1378503822396879,-1.5466932553748236,-4.753424308822899,0.08674432802741455,0.6482381821471505,0.5099797129602978,0.07191523783111932,0.7038539400838278,0.5728516303373528
9444,Allier,07,alerte,2,[],1,44.6868831232366,3.9294622480611725,0.218720480799675,0.016853200271725655,0.2389405553103034,0.364534134666125,0.11235466847817104,0.07964685177010113,0.13253586313251073,-3.6405084582084917,-4.753424308822899,0.2457096316477103,0.6788757468296356,0.5815056451640829,0.21741919986170954,0.7038539400838278,0.6030149278776389
9445,Ardèche,07,alerte,2,[],1,44.54562853214226,4.4434240576825825,0.029968781396746635,0.24447600543498993,0.3267814449866165,0.04994796899457773,1.0,0.10892714832887217,0.24992568008099764,-4.753424308822899,-4.753424308822899,0.25494722932644803,0.7038539400838278,0.6107945725213191,0.14808900705147215,0.7038539400838278,0.5886426234738527
9446,Beaume-Chassezac,07,alerte_renforcee,3,[],1,44.48776286158407,4.136560473844953,0.029968781396746635,0.016853200271725655,0.3267814449866165,0.04994796899457773,0.11235466847817104,0.10892714832887217,0.13253586313251073,-3.6405084582084917,-4.753424308822899,0.08841654881193667,0.6788757468296356,0.5461482085359315,0.07787573973605906,0.7038539400838278,0.5740872557453423
9447,Cance,07,alerte_renforcee,3,[],1,45.2529310799571,4.704845274191137,0.030133234336972237,0.016853200271725655,0.3357465806879242,0.05022205722828706,0.11235466847817104,0.11191552689597473,0.1539424707552083,-4.753424308822899,-4.753424308822899,0.09625997167296246,0.7038539400838278,0.5778983482422316,0.08095602887227434,0.7038539400838278,0.5747258065891072
9448,Cèze,07,alerte_renforcee,3,[],1,44.31799453712337,4.24224894307511,0.029968781396746635,0.24447600543498993,0.3267814449866165,0.04994796899457773,1.0,0.10892714832887217,0.24231712413325404,-4.753424308822899,-4.753424308822899,0.25220814918526036,0.7038539400838278,0.6102267550671939,0.1471486558504378,0.7038539400838278,0.588447686561666
9449,Doux,07,alerte_renforcee,3,[],1,45.0204170349254,4.651267680758229,0.030133234336972237,0.016853200271725655,0.3357465806879242,0.05022205722828706,0.11235466847817104,0.11191552689597473,0.23645149171766888,-4.753424308822899,-4.753424308822899,0.12596321921944828,0.7038539400838278,0.5840558980515561,0.08945957938688905,0.7038539400838278,0.5764886116752481
9450,Eyrieux,07,alerte_renforcee,3,[],1,44.917609884444516,4.431786632199107,0.029968781396746635,0.016853200271725655,0.3267814449866165,0.04994796899457773,0.11235466847817104,0.10892714832887217,0.11396525201832383,-4.352296893473436,-4.753424308822899,0.08173112881082939,0.6949404238692578,0.563994666528289,0.07536006228643495,0.7038539400838278,0.573565750170034
9451,Loire,07,alerte,2,[],1,44.7835306351055,4.079386834902617,0.28727683424949646,0.016853200271725655,0.3329615798904396,0.47879472374916077,0.11235466847817104,0.11098719329681321,0.13253586313251073,-3.6405084582084917,-4.753424308822899,0.30283992618922817,0.6788757468296356,0.5943477913817165,0.26090344251276404,0.7038539400838278,0.6120293088683229
9452,Ouvèze,07,alerte_renforcee,3,[],1,44.73464621111992,4.622196686600088,0.029968781396746635,0.24447600543498993,0.3267814449866165,0.04994796899457773,1.0,0.10892714832887217,0.13778873899451324,-3.099453962100352,-4.753424308822899,0.21457793053531365,0.6671435424595539,0.5616959719867451,0.13163689072057427,0.7038539400838278,0.5852320628737782
9771,Craie de Champagne Nord,08,alerte,2,,0,49.48161733875119,4.274218809324328,0.38655808568000793,0.09303999692201614,0.4901896031341051,0.6442634761333466,0.6202666461467743,0.16339653437803503,0.12043867381579934,-4.753424308822899,-1.0547635837435918,0.45232699110090946,0.6526774474637089,0.6039670851296921,0.42423545547537234,0.7038539400838278,0.6458884013362605
9790,Affluents crayeux Aube et Seine,10,alerte,2,[],1,48.51642682300498,4.4593598845891265,0.3673989772796631,0.09303999692201614,0.5039745289497263,0.6123316287994385,0.6202666461467743,0.16799150964990875,0.14055789485750533,-4.753424308822899,-2.2369399065387996,0.4436039870089696,0.6522665480732891,0.6014752812205544,0.4231257350752772,0.7038539400838278,0.6456583538093926
9794,Seine en amont de la restitution du réservoir,10,alerte,2,[],1,48.122649559103294,4.36414121478119,0.3673989772796631,0.09303999692201614,0.5039745289497263,0.6123316287994385,0.6202666461467743,0.16799150964990875,0.14385231176726945,-4.753424308822899,-4.753424308822899,0.44478997709648466,0.7038539400838278,0.6501493997503484,0.4246299037273404,0.7038539400838278,0.6459701713432232
9796,Vanne,10,alerte,2,,0,48.24237883509471,3.7816510798071628,0.3673989772796631,0.09303999692201614,0.5039745289497263,0.6123316287994385,0.6202666461467743,0.16799150964990875,0.1744332280051677,-4.753424308822899,-1.29135810215779,0.455799106942128,0.6496514638708866,0.6021103412382682,0.43768103795070645,0.7038539400838278,0.648675700727604
8328,Secteur SG1 : Rhone Camargue,13,vigilance,1,[],1,43.51814770113636,4.534049679895881,0.016032449901103973,0.24447600543498993,0.3385336395978084,0.02672074983517329,1.0,0.1128445465326028,0.6957001820418304,-4.753424308822899,-3.6461600872059834,0.4038124404526456,0.6790022398565017,0.6171675234004181,0.1541596953189318,0.7038539400838278,0.589901090761824
