Site,Year,S_struct_v2,S_conj_v2,H_v2,S_struct_v3,S_conj_v3,H_v3,Delta_H
Paris-Saclay,2015,0.29018338723227965,0.6610699564583968,0.5730767357186343,0.2850039479037618,0.7038539400838278,0.6170253976677956,0.04394866194916136
Paris-Saclay,2018,0.29018338723227965,0.5122366417774669,0.4364200329786245,0.2850039479037618,0.5456952889765985,0.46279197591591986,0.02637194293729539
Paris-Saclay,2022,0.29018338723227965,0.651316427673413,0.5631716166350897,0.2850039479037618,0.7038539400838278,0.6170253976677956,0.05385378103270588
Lyon,2015,0.13145990239120345,0.5683386304780881,0.4363300614214052,0.12578723131951264,0.6050895101193375,0.47259246171410785,0.03626240029270267
Lyon,2018,0.13145990239120345,0.22685706838585534,0.17522811717650488,0.12578723131951264,0.26685692015301254,0.19445993385189875,0.019231816675393865
Lyon,2022,0.13145990239120345,0.7038539400838278,0.5851953727963021,0.12578723131951264,0.7038539400838278,0.584019415365345,-0.0011759574309571086
Marseille,2015,0.8373379445982974,0.6836048404188816,0.7176531274397044,0.8495267741606987,0.7038539400838278,0.7340522451779091,0.016399117738204683
Marseille,2018,0.8373379445982974,0.0,0.5861365612188081,0.8495267741606987,0.0,0.594668741912489,0.00853218069368089
Marseille,2022,0.8373379445982974,0.5385999612342061,0.6350863632077108,0.8495267741606987,0.5779554291547845,0.6581860773845998,0.02309971417688894
Strasbourg,2015,0.19072392528221493,0.6555861051473119,0.5435126093913777,0.1789613390871035,0.7038539400838278,0.5950425271187959,0.05152991772741822
Strasbourg,2018,0.19072392528221493,0.6550725722522214,0.5429559631879535,0.1789613390871035,0.7038539400838278,0.5950425271187959,0.05208656393084243
Strasbourg,2022,0.19072392528221493,0.6488710488109894,0.536262945528545,0.1789613390871035,0.7038539400838278,0.5950425271187959,0.05877958159025087
Brest,2015,0.20202469301475476,0.13858981349894375,0.17684022947501452,0.20866875410479385,0.1579985104456156,0.1878636048915938,0.011023375416579273
Brest,2018,0.20202469301475476,0.3145736108737786,0.26057281201605653,0.20866875410479385,0.36833512284079545,0.2977361768049375,0.03716336478888099
Brest,2022,0.20202469301475476,0.45886176462997186,0.361572712831947,0.20866875410479385,0.4948890359366913,0.3936879341932842,0.03211522136133721
Rennes,2015,0.3105929503577029,0.16304640692919514,0.24948913369656212,0.3259204144511546,0.21025970864644306,0.2741990522967027,0.0247099186001406
Rennes,2018,0.3105929503577029,0.0,0.21741506525039203,0.3259204144511546,0.0,0.2281442901158082,0.010729224865416165
Rennes,2022,0.3105929503577029,0.4899048772169104,0.4258785796735065,0.3259204144511546,0.5142811472357676,0.45023789591198693,0.024359316238480422
Bordeaux,2015,0.30997261764324524,0.4566946100045415,0.4008942155080062,0.20135608279485306,0.4734953557024373,0.37319754194531385,-0.027696673562692342
Bordeaux,2018,0.30997261764324524,0.0,0.21698083235027166,0.20135608279485306,0.0,0.14094925795639712,-0.07603157439387453
Bordeaux,2022,0.30997261764324524,0.45742606894875104,0.4014229898434195,0.20135608279485306,0.47847647031509233,0.37730910846204907,-0.02411388138137044
Montpellier,2015,0.38159583344332637,0.4865836098090655,0.4488518981999559,0.15551116376521046,0.5223090636794989,0.399657841104184,-0.049194057095771904
Montpellier,2018,0.38159583344332637,0.0,0.2671170834103284,0.15551116376521046,0.0,0.10885781463564731,-0.1582592687746811
Montpellier,2022,0.38159583344332637,0.7038539400838278,0.6370491120934868,0.15551116376521046,0.7038539400838278,0.5901812532006504,-0.0468678588928364
