zone_id,zone_nom,code_dept,niveau_text,niveau_int,communes,n_communes,lat,lon,bws_raw,gws_raw,sev_raw,x_bws,x_gws,x_sv,x_a,spei3_t,spei12_t,spei3_lag1,spei12_lag1,spei3_lag2,spei12_lag2,S_struct_v2,S_conj_v2,H_v2,S_struct_v3,S_conj_v3,H_v3
8788,Saône Aval,01,alerte,2,[],1,46.20717222606079,4.8221278122353315,0.10427100211381912,0.016853200271725655,0.507054555098885,0.1737850035230319,0.11235466847817104,0.16901818503296165,0.09446518608979426,-2.7023478709005206,-3.7190164854556804,-1.183717530344695,-0.6570481298070815,-2.1942505901868876,-0.5794694498407801,0.13662962234078582,0.6195470237566619,0.4909378699028038,0.14405138726684336,0.6502895200448712,0.5263637737750965
8789,Rivières de Bresse,01,alerte,2,[],1,46.281064727004804,5.250613145207517,0.10427100211381912,0.24447600543498993,0.507054555098885,0.1737850035230319,1.0,0.16901818503296165,0.10718731975478075,-2.204898604847925,-3.7190164854556804,-1.4403609792066507,-0.4873476370378669,-3.7190164854556804,-0.5760155048630762,0.265479936873237,0.6065184971820036,0.512583841521578,0.22850869384031613,0.6502895200448712,0.5470386974273651
8790,Rivières du Bugey,01,alerte,2,[],1,45.98144998763166,5.4609347273470235,0.07338256388902664,0.24447600543498993,0.3354370754820005,0.12230427314837775,1.0,0.11181235849400017,0.04362948505194422,-2.0601631123002067,-3.7190164854556804,-1.262976550826132,-0.41900308468295705,-3.2117369227948047,-0.6060924040341125,0.2168587511928888,0.6033351499577129,0.4960240280250604,0.16376910257267624,0.6502895200448712,0.5311906179533514
8791,Rivières de Dombes,01,alerte,2,[],1,46.04893225050928,5.017698289197538,0.10427100211381912,0.24447600543498993,0.507054555098885,0.1737850035230319,1.0,0.16901818503296165,0.1250563563324265,-2.260360040273488,-3.7190164854556804,-2.617308246032481,-0.5184008313730774,-2.765231715249235,-0.6544054265417572,0.2719127900411895,0.6078262200212962,0.5156107123146592,0.23411756595905125,0.6502895200448712,0.5484117343798199
8792,Rivières du Haut-Rhône,01,alerte,2,[],1,46.06121765988493,5.72367353010142,0.07338256388902664,,0.3354370754820005,0.12230427314837775,,0.11181235849400017,0.025016435554640896,-2.06493068054276,-3.7190164854556804,-1.1007683948205205,-0.5248737092323705,-3.7190164854556804,-0.6320819964096743,0.08157913183006929,0.6034342704970969,0.45856936586486696,0.09156879339625969,0.6502895200448712,0.5135161746108562
9368,Saône Aval,01,alerte,2,[],1,46.20717222606079,4.8221278122353315,0.10427100211381912,0.016853200271725655,0.507054555098885,0.1737850035230319,0.11235466847817104,0.16901818503296165,0.09446518608979426,-2.7023478709005206,-3.7190164854556804,-1.183717530344695,-0.6570481298070815,-2.1942505901868876,-0.5794694498407801,0.13662962234078582,0.6195470237566619,0.4909378699028038,0.14405138726684336,0.6502895200448712,0.5263637737750965
9370,Plaine de l'Ain,01,alerte,2,[],1,45.94555441495824,5.276735577284725,0.07338256388902664,0.24447600543498993,0.3354370754820005,0.12230427314837775,1.0,0.11181235849400017,0.14940128649125498,-2.2508083200704148,-3.7190164854556804,-1.637058892220305,-0.4798421011763571,-2.8273177351922327,-0.5621503133201468,0.25493659971104066,0.6075978127511392,0.5107282908027995,0.1958918121380936,0.6502895200448712,0.5390541716790584
9371,Dombes - Certines - Nord,01,vigilance,1,[],1,46.115506159897365,5.1093677541003695,0.10427100211381912,0.24447600543498993,0.507054555098885,0.1737850035230319,1.0,0.16901818503296165,0.1250563563324265,-2.260360040273488,-3.7190164854556804,-2.617308246032481,-0.5184008313730774,-2.765231715249235,-0.6544054265417572,0.2719127900411895,0.6078262200212962,0.5156107123146592,0.23411756595905125,0.6502895200448712,0.5484117343798199
9372,Dombes - Sud,01,alerte_renforcee,3,[],1,45.9673784131865,4.869495690799803,0.10427100211381912,0.24447600543498993,0.507054555098885,0.1737850035230319,1.0,0.16901818503296165,0.12250880782629849,-2.3892598534852927,-3.7190164854556804,-2.5682935064772985,-0.7334983798400622,-2.4218494857312542,-0.6743865167140406,0.2709956725789834,0.6110277672461589,0.5184436370966992,0.23334730311001245,0.6502895200448712,0.5482231760863797
8920,Bassin du Drac-Gapençais,05,alerte,2,[],1,44.61620469698566,6.169142541960832,0.1254761964082718,,0.278983449058036,0.20912699401378632,,0.09299448301934533,0.14716219768779007,-1.7317050935194624,-2.3983408068324867,-1.4958026229264723,-1.9017595899837718,-1.9233067718634256,-1.5847577593323123,0.18318824206336928,0.5128040926111311,0.4003928472329717,0.1768664982345774,0.5452830765426017,0.42801539941535316
